xValue    Pressure    Density    Velocity
-0.5   1   1   0
-0.4975   1   1   0
-0.495   1   1   0
-0.4925   1   1   0
-0.49   1   1   0
-0.4875   1   1   0
-0.485   1   1   0
-0.4825   1   1   0
-0.48   1   1   0
-0.4775   1   1   0
-0.475   1   1   0
-0.4725   1   1   0
-0.47   1   1   0
-0.4675   1   1   0
-0.465   1   1   0
-0.4625   1   1   0
-0.46   1   1   0
-0.4575   1   1   0
-0.455   1   1   0
-0.4525   1   1   0
-0.45   1   1   2.02613e-017
-0.4475   1   1   1.82352e-016
-0.445   1   1   7.59798e-016
-0.4425   1   1   1.91469e-015
-0.44   1   1   3.3735e-015
-0.4375   1   1   5.3439e-015
-0.435   1   1   8.85922e-015
-0.4325   1   1   1.57379e-014
-0.43   1   1   2.90343e-014
-0.4275   1   1   5.42342e-014
-0.425   1   1   1.02041e-013
-0.4225   1   1   1.91504e-013
-0.42   1   1   3.57884e-013
-0.4175   1   1   6.65455e-013
-0.415   1   1   1.2304e-012
-0.4125   1   1   2.26068e-012
-0.41   1   1   4.12711e-012
-0.4075   1   1   7.48529e-012
-0.405   1   1   1.34854e-011
-0.4025   1   1   2.41319e-011
-0.4   1   1   4.2892e-011
-0.3975   1   1   7.5718e-011
-0.395   1   1   1.32752e-010
-0.3925   1   1   2.31147e-010
-0.39   1   1   3.9969e-010
-0.3875   1   1   6.8632e-010
-0.385   1   1   1.17026e-009
-0.3825   1   1   1.98141e-009
-0.38   1   1   3.33106e-009
-0.3775   1   1   5.5602e-009
-0.375   1   1   9.21466e-009
-0.3725   1   1   1.51611e-008
-0.37   1   1   2.47644e-008
-0.3675   1   1   4.0156e-008
-0.365   1   1   6.46367e-008
-0.3625   1   1   1.03275e-007
-0.36   1   1   1.63787e-007
-0.3575   1   1   2.57816e-007
-0.355   1   1   4.02782e-007
-0.3525   0.999999   0.999999   6.24507e-007
-0.35   0.999999   0.999999   9.60929e-007
-0.3475   0.999998   0.999999   1.46727e-006
-0.345   0.999997   0.999998   2.22319e-006
-0.3425   0.999996   0.999997   3.34245e-006
-0.34   0.999994   0.999996   4.98604e-006
-0.3375   0.999991   0.999994   7.3795e-006
-0.335   0.999987   0.999991   1.08357e-005
-0.3325   0.999981   0.999987   1.57842e-005
-0.33   0.999973   0.999981   2.28087e-005
-0.3275   0.999961   0.999972   3.26942e-005
-0.325   0.999945   0.999961   4.64848e-005
-0.3225   0.999922   0.999945   6.55537e-005
-0.32   0.999892   0.999923   9.16874e-005
-0.3175   0.99985   0.999893   0.000127182
-0.315   0.999793   0.999852   0.000174955
-0.3125   0.999718   0.999798   0.000238666
